SN,TestTime,MAC,TotalStatus,BES_OpenSerialPort,BES_ReadBTAddress,BES_CompareSN,BES_CompareBattarySN,BES_ReadProductColor,BES_ReadBattaryVoltage,BES_ReadWarningTone,BES_ReadNTC,BES_ClosedSerialPort
,,,,NA,NA,GJ1225,SYN0,华为黑色,3.8,华为中文,727,NA
,,,,NA,NA,NA,NA,NA,4.05,NA,1112,NA
2155030946GJ02000682,20200302160209,Fail,Fail,Pass,Fail,,,,,,,
2155030946GJ02000682,20200302160238,Fail,Fail,Pass,Fail,,,,,,,
2155030946GJ02000682,20200302160221,E09DFA3EFB68,Pass,Pass,E09DFA3EFB68,GJ1225196L200538,SYN0C1903005404,华为黑色,3.822,华为中文,866,Pass
