SN,TestTime,MAC,TotalStatus,K2300Series_Open,ChannelOne_OutPut,ChannelTwo_OutPut,ChannelTwo_StopOut,PowerON_Current,BES_OpenSerialPort,BES_SoftVersion,BES_HWVersion,BES_ReadBTAddress,BES_Shutdown,PowerOFF_Current,BES_ClosedSerialPort,ChannelOne_StopOut,PowerON
,,,,NA,NA,NA,NA,NA,NA,CM70-L-BD 1.0.0.102,B816_V10,NA,NA,NA,NA,NA,NA
,,,,NA,NA,NA,NA,NA,NA,CM70-L-BD 1.0.0.102,B816_V10,NA,NA,NA,NA,NA,NA
,20190615171518,,Fail,Pass,Pass,Pass,Pass,Fail,,,,,,,,,
,20190615171551,,Fail,Pass,Pass,Pass,Pass,Fail,,,,,,,,,
,20190615171524,,Fail,Pass,Pass,Pass,Pass,0.583,,,,,,,,,
,20190615171559,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,0.574,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,5.869,,,
,20190615171552,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,1.696,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,5.861,,,
,20190615171544,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,0.68,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,5.874,,,
,20190615171533,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,1.487,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,5.866,,,
,20190615171551,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,1.128,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,5.869,,,
,20190615171550,E09DFA3E996A,Fail,Pass,Pass,Pass,Pass,1.257,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E996A,Pass,Pass,456.219,,,
,20190615181541,,Fail,Fail,Fail,,,,,,,,,,,,
,20190615181507,,Fail,Fail,Fail,,,,,,,,,,,,
,20190615181546,,Fail,Pass,Fail,,,,,,,,,,,,
,20190615181521,,Fail,Pass,Fail,,,,,,,,,,,,
,20190615181501,E09DFA3E9B5E,Fail,Pass,Pass,Pass,Pass,4.95434414,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,Fail,,,
,20190615181504,E09DFA3E9B5E,Fail,Pass,Pass,Pass,Pass,Pass,2.41385084,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,Fail,,,
,20190615181557,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.78655108,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.03122,Pass,Pass,Pass
,20190615181519,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.7127981,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.04714,Pass,Pass,Pass
,20190615181501,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.76379178,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.02308,Pass,Pass,Pass,5.1988,Pass,Pass
,20190615181511,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.74011928,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,15.9872,Pass,Pass,Pass,5.22124,Pass,Pass
,20190615181511,E09DFA3E9B5E,Fail,Pass,Pass,Pass,Pass,Pass,2.76397416,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.01288,Pass,Pass,Pass,3279.853,,
,20190615181555,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.53494248,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.03328,Pass,Pass,Pass,5.22,Pass,Pass
,20190615181526,E09DFA3E9B5E,Pass,Pass,Pass,Pass,Pass,Pass,2.6160946,Pass,CM70-L-BD 1.0.0.102,B816_V10,E09DFA3E9B5E,Pass,16.06754,Pass,Pass,Pass,5.18576,Pass,Pass
,20190615181537,E09DFA3EB0C2,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.120,GJ1225196F100618,SYN0C1902004395,E09DFA3EB0C2,华为黑色,华为中文,3.799,,,,,
,20190615181549,E09DFA3EB0C2,Fail,Pass,B816_V10,CM70-L-BD 1.0.0.120,GJ1225196F100618,SYN0C1902004395,E09DFA3EB0C2,华为黑色,华为中文,3.799,,,,,
,20190615181526,E09DFA3EB0C2,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.120,GJ1225196F100618,SYN0C1902004395,E09DFA3EB0C2,华为黑色,华为中文,3.799,833,用户模式,用户模式,Pass,Pass
,20190615181557,E09DFA3EAB29,Pass,Pass,B816_V10,CM70-L-BD 1.0.0.120,GJ1225196D100490,SYN0C1902008213,E09DFA3EAB29,华为黑色,华为中文,3.766,822,用户模式,用户模式,Pass,Pass
,20190615191550,,Fail,Pass,Pass,Pass,Pass,Pass,Fail,,,,,,,,,,,,,,,,,,
